ts,status,bars_dist,int_dist,cycles
2025-10-07T15:10:19,Device Connected,33,0,0
2025-10-07T15:10:21,other,5,32,0
2025-10-07T15:10:23,Device Not Connected,0,33,0
2025-10-07T15:10:27,Device Connected,31,4,1
2025-10-07T15:10:30,Device Not Connected,0,33,1
2025-10-07T15:10:34,other,27,30,1
2025-10-07T15:10:36,Device Not Connected,0,33,1
2025-10-07T15:10:37,Device Connected,31,4,2
2025-10-07T15:10:38,Device Not Connected,0,33,2
2025-10-07T15:10:40,Device Connected,31,4,3
2025-10-07T15:10:41,Device Not Connected,0,33,3
2025-10-07T15:10:43,Device Not Connected,0,33,3
2025-10-07T15:21:57,Device Not Connected,0,33,0
2025-10-07T15:22:01,other,5,32,0
2025-10-07T15:22:02,Device Connected,33,0,0
2025-10-07T15:22:06,Device Not Connected,0,33,0
2025-10-07T15:22:14,other,5,32,0
2025-10-07T15:22:16,Device Connected,33,0,0
2025-10-07T15:22:19,Device Not Connected,0,33,0
2025-10-07T15:22:25,Device Connected,31,4,1
2025-10-07T15:22:29,other,5,32,1
2025-10-07T15:22:30,Device Connected,33,0,1
2025-10-07T15:22:34,Device Not Connected,0,33,1
2025-10-07T15:22:37,other,27,32,1
2025-10-07T15:22:39,Device Not Connected,0,33,1
2025-10-07T15:25:20,Device Not Connected,0,33,0
2025-10-07T15:25:23,other,5,32,0
2025-10-07T15:25:31,Device Connected,33,0,0
2025-10-07T15:25:34,Device Not Connected,0,33,0
2025-10-07T15:25:37,Device Connected,31,4,1
2025-10-07T15:25:40,other,35,34,1
2025-10-07T15:25:44,Device Not Connected,0,33,1
2025-10-07T15:25:46,Device Connected,33,2,2
2025-10-07T15:25:48,other,5,32,2
2025-10-07T15:25:52,Device Connected,33,0,2
2025-10-07T15:25:53,Device Not Connected,0,33,2
2025-10-07T15:25:55,other,27,34,2
2025-10-07T15:25:57,Device Not Connected,0,33,2
2025-10-07T15:25:58,Device Connected,31,4,3
2025-10-07T15:26:03,Device Connected,33,0,3
