ts,status,bars_dist,int_dist,cycles
2025-10-07T16:48:36,Device Connected,33,0,0
2025-10-07T16:48:46,Device Not Connected,0,33,0
2025-10-07T16:48:48,other,27,36,0
2025-10-07T16:48:50,Device Connected,33,0,0
2025-10-07T16:49:08,other,31,34,0
2025-10-07T16:49:26,other,5,32,0
2025-10-07T16:49:28,Device Connected,33,0,0
2025-10-07T16:49:31,Device Not Connected,0,33,0
2025-10-07T16:49:32,Device Connected,31,4,1
2025-10-07T16:49:32,Device Not Connected,0,33,1
2025-10-07T16:49:34,Device Connected,31,4,2
2025-10-07T16:49:35,Device Not Connected,0,33,2
2025-10-07T16:49:36,Device Connected,31,4,3
